Actual;Prediction;SHAP Precision;SHAP Recall;SHAP Single Explanation Precision;SHAP Single Explanation Recall;LIME Precision;LIME Recall;LIME Single Explanation Precision;LIME Single Explanation Recall;SHAP Supporting Fidelity;SHAP Contrary Fidelity;LIME Supporting Fidelity;LIME Contrary Fidelity
39;147.5;1.0;1.0;1.0;1.0;1.0;0.6666666666666666;1.0;0.7166666666666666;1.;0.;1.;0.
89;79.0;1.0;0.6666666666666666;1.0;0.6666666666666667;1.0;0.7777777777777778;1.0;0.7222222222222222;1.;0.;1.;0.
45;24.0;1.0;1.0;1.0;1.0;1.0;0.8;1.0;0.78;1.;0.;1.;0.
55;46.25;1.0;0.6666666666666666;1.0;0.6666666666666667;1.0;0.8333333333333334;1.0;0.7666666666666666;1.;0.;1.;0.
176;225.75;1.0;1.0;1.0;1.0;1.0;0.8333333333333334;1.0;0.7833333333333334;1.;0.;1.;0.
52;30.5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8833333333333334;1.;0.;1.;0.
209;282.1666666666667;1.0;0.7;1.0;0.7;1.0;0.7;1.0;0.78;1.;0.;1.;0.
352;274.25;1.0;0.8571428571428571;1.0;0.8571428571428571;1.0;0.8571428571428571;1.0;0.657142857142857;1.;0.;1.;0.
167;190.25;1.0;0.7;1.0;0.7;1.0;0.7;1.0;0.74;1.;0.;1.;0.
516;465.6666666666667;1.0;1.0;1.0;1.0;1.0;0.75;1.0;0.75;1.;0.;1.;0.
419;528.0;1.0;0.8571428571428571;1.0;0.8571428571428571;1.0;0.8571428571428571;1.0;0.8142857142857143;1.;0.;1.;0.
113;106.0;1.0;0.7777777777777778;1.0;0.7777777777777778;1.0;0.7777777777777778;1.0;0.7;1.;0.;1.;0.
11;7.8;1.0;0.7142857142857143;1.0;0.7142857142857143;1.0;0.7142857142857143;1.0;0.7571428571428572;1.;0.;1.;0.
204;219.8333333333333;1.0;1.0;1.0;1.0;1.0;0.6666666666666666;1.0;0.7666666666666667;1.;0.;1.;0.
