Actual;Prediction;SHAP Supporting Fidelity;SHAP Contrary Fidelity;LIME Supporting Fidelity;LIME Contrary Fidelity
39;99.57984;1.;0.;1.;0.
89;91.29909;1.;0.;1.;0.
45;63.132355;1.;0.;1.;0.
55;53.885406;1.;0.;1.;0.
176;222.55916;1.;0.;1.;0.
52;27.305832;1.;0.;1.;0.
209;169.80832;1.;0.;1.;0.
352;292.92038;1.;0.;1.;0.
167;135.02689;1.;0.;1.;0.
516;358.91928;1.;0.;1.;0.
419;419.7553;1.;0.;1.;0.
113;93.69011;1.;0.;1.;0.
11;42.026886;1.;0.;1.;0.
204;206.81865;1.;0.;1.;0.
126;134.60422;1.;0.;1.;0.
136;131.64465;1.;0.;1.;0.
30;31.518707;1.;0.;1.;0.
407;396.48767;1.;0.;1.;0.
6;-6.1309657;1.;0.;1.;0.
223;240.9088;1.;0.;1.;0.
46;37.476402;1.;0.;1.;0.
3;27.931366;1.;0.;1.;0.
29;-1.2647474;1.;0.;1.;0.
3;3.9190228;1.;0.;1.;0.
248;200.14268;1.;0.;1.;0.
13;13.460661;1.;0.;1.;0.
204;207.78879;1.;0.;1.;0.
108;73.75353;1.;0.;1.;0.
17;99.91996;1.;0.;1.;0.
846;833.3327;1.;0.;1.;0.
326;374.5997;1.;0.;1.;0.
579;549.52136;1.;0.;1.;0.
14;9.904693;1.;0.;1.;0.
47;-3.438329;1.;0.;1.;0.
388;491.97543;1.;0.;1.;0.
101;86.089005;1.;0.;1.;0.
151;164.56198;1.;0.;1.;0.
39;65.463234;1.;0.;1.;0.
48;63.448563;1.;0.;1.;0.
193;132.01791;1.;0.;1.;0.
116;103.571396;1.;0.;1.;0.
106;82.72326;1.;0.;1.;0.
589;602.0311;1.;0.;1.;0.
202;179.13042;1.;0.;1.;0.
559;458.2882;1.;0.;1.;0.
350;375.6176;1.;0.;1.;0.
367;391.91214;1.;0.;1.;0.
30;58.418816;1.;0.;1.;0.
4;41.703163;1.;0.;1.;0.
116;58.91915;1.;0.;1.;0.
566;470.06253;1.;0.;1.;0.
29;12.927426;1.;0.;1.;0.
275;306.40906;1.;0.;1.;0.
48;58.617603;1.;0.;1.;0.
159;243.5567;1.;0.;1.;0.
468;453.86264;1.;0.;1.;0.
4;-1.0899413;1.;0.;1.;0.
238;328.72824;1.;0.;1.;0.
88;108.396736;1.;0.;1.;0.
476;327.06372;1.;0.;1.;0.
475;451.8714;1.;0.;1.;0.
220;135.63037;1.;0.;1.;0.
123;46.867844;1.;0.;1.;0.
228;140.10823;1.;0.;1.;0.
178;101.95021;1.;0.;1.;0.
556;550.6288;1.;0.;1.;0.
13;9.815187;1.;0.;1.;0.
174;177.63736;1.;0.;1.;0.
70;78.953995;1.;0.;1.;0.
141;100.16837;1.;0.;1.;0.
152;134.68121;1.;0.;1.;0.
30;-26.325708;1.;0.;1.;0.
322;418.07993;1.;0.;1.;0.
114;205.32256;1.;0.;1.;0.
23;27.813402;1.;0.;1.;0.
118;146.74332;1.;0.;1.;0.
409;297.76117;1.;0.;1.;0.
7;-6.4613414;1.;0.;1.;0.
297;254.09332;1.;0.;1.;0.
187;234.06062;1.;0.;1.;0.
733;736.5663;1.;0.;1.;0.
326;303.7876;1.;0.;1.;0.
95;71.24653;1.;0.;1.;0.
3;-24.892971;1.;0.;1.;0.
12;-65.284035;1.;0.;1.;0.
61;75.31357;1.;0.;1.;0.
60;26.39403;1.;0.;1.;0.
280;133.60312;1.;0.;1.;0.
6;25.947926;1.;0.;1.;0.
582;493.5302;1.;0.;1.;0.
23;21.539618;1.;0.;1.;0.
56;75.78807;1.;0.;1.;0.
88;75.60839;1.;0.;1.;0.
17;55.91246;1.;0.;1.;0.
545;583.1758;1.;0.;1.;0.
589;625.6434;1.;0.;1.;0.
419;325.44846;1.;0.;1.;0.
147;184.12239;1.;0.;1.;0.
61;68.394455;1.;0.;1.;0.
280;286.58774;1.;0.;1.;0.
268;286.74664;1.;0.;1.;0.
51;75.10117;1.;0.;1.;0.
227;197.46153;1.;0.;1.;0.
102;101.472084;1.;0.;1.;0.
144;228.27376;1.;0.;1.;0.
82;94.06554;1.;0.;1.;0.
558;601.9376;1.;0.;1.;0.
249;262.75644;1.;0.;1.;0.
316;336.7476;1.;0.;1.;0.
150;157.11948;1.;0.;1.;0.
39;108.928246;1.;0.;1.;0.
423;426.53735;1.;0.;1.;0.
300;319.45468;1.;0.;1.;0.
172;318.4613;1.;0.;1.;0.
242;198.27351;1.;0.;1.;0.
72;177.75456;1.;0.;1.;0.
69;91.50913;1.;0.;1.;0.
337;383.8906;1.;0.;1.;0.
34;18.19464;1.;0.;1.;0.
107;99.446594;1.;0.;1.;0.
634;715.63184;1.;0.;1.;0.
28;50.524643;1.;0.;1.;0.
74;75.60614;1.;0.;1.;0.
348;349.23138;1.;0.;1.;0.
428;391.2724;1.;0.;1.;0.
437;341.93033;1.;0.;1.;0.
238;271.591;1.;0.;1.;0.
9;-14.981511;1.;0.;1.;0.
54;61.98876;1.;0.;1.;0.
338;297.83768;1.;0.;1.;0.
388;387.2383;1.;0.;1.;0.
203;176.84521;1.;0.;1.;0.
53;65.0279;1.;0.;1.;0.
84;63.31733;1.;0.;1.;0.
143;81.95157;1.;0.;1.;0.
367;340.88525;1.;0.;1.;0.
202;227.32971;1.;0.;1.;0.
41;28.719913;1.;0.;1.;0.
6;41.503338;1.;0.;1.;0.
117;102.71446;1.;0.;1.;0.
175;157.87418;1.;0.;1.;0.
118;98.53704;1.;0.;1.;0.
163;279.11838;1.;0.;1.;0.
76;76.9467;1.;0.;1.;0.
332;349.32422;1.;0.;1.;0.
223;206.69849;1.;0.;1.;0.
216;259.3058;1.;0.;1.;0.
207;218.48169;1.;0.;1.;0.
315;259.26437;1.;0.;1.;0.
281;303.95398;1.;0.;1.;0.
30;41.201164;1.;0.;1.;0.
294;282.38092;1.;0.;1.;0.
4;-24.661081;1.;0.;1.;0.
295;267.5496;1.;0.;1.;0.
13;3.8940852;1.;0.;1.;0.
10;-19.28165;1.;0.;1.;0.
157;67.86869;1.;0.;1.;0.
158;229.44081;1.;0.;1.;0.
5;-0.46022844;1.;0.;1.;0.
178;164.88832;1.;0.;1.;0.
8;2.801858;1.;0.;1.;0.
2;-33.77937;1.;0.;1.;0.
514;444.3975;1.;0.;1.;0.
48;76.265465;1.;0.;1.;0.
206;262.17496;1.;0.;1.;0.
129;74.82507;1.;0.;1.;0.
420;471.91867;1.;0.;1.;0.
224;194.26614;1.;0.;1.;0.
491;437.71365;1.;0.;1.;0.
102;77.36191;1.;0.;1.;0.
100;88.71188;1.;0.;1.;0.
181;167.54724;1.;0.;1.;0.
156;113.197044;1.;0.;1.;0.
12;52.622433;1.;0.;1.;0.
646;637.2082;1.;0.;1.;0.
608;531.98645;1.;0.;1.;0.
229;131.29184;1.;0.;1.;0.
80;125.27843;1.;0.;1.;0.
288;244.96924;1.;0.;1.;0.
193;200.01996;1.;0.;1.;0.
192;240.76602;1.;0.;1.;0.
312;335.9831;1.;0.;1.;0.
153;76.21135;1.;0.;1.;0.
206;112.212585;1.;0.;1.;0.
488;426.3179;1.;0.;1.;0.
10;-130.9171;1.;0.;1.;0.
301;280.26913;1.;0.;1.;0.
203;201.55112;1.;0.;1.;0.
232;284.3059;1.;0.;1.;0.
322;365.14197;1.;0.;1.;0.
46;59.797348;1.;0.;1.;0.
159;185.03638;1.;0.;1.;0.
501;571.87415;1.;0.;1.;0.
94;82.09168;1.;0.;1.;0.
44;22.846508;1.;0.;1.;0.
543;544.36884;1.;0.;1.;0.
2;78.61644;1.;0.;1.;0.
44;71.054726;1.;0.;1.;0.
134;122.60108;1.;0.;1.;0.
104;124.38461;1.;0.;1.;0.
141;74.42999;1.;0.;1.;0.
98;201.8743;1.;0.;1.;0.
81;100.00814;1.;0.;1.;0.
137;73.85849;1.;0.;1.;0.
356;394.73547;1.;0.;1.;0.
151;70.37783;1.;0.;1.;0.
404;454.38528;1.;0.;1.;0.
4;-48.34259;1.;0.;1.;0.
45;33.2404;1.;0.;1.;0.
