Actual;Prediction;Prediction Probability;SHAP Precision;SHAP Recall;SHAP Single Explanation Precision;SHAP Single Explanation Recall;LIME Precision;LIME Recall;LIME Single Explanation Precision;LIME Single Explanation Recall;SHAP Supporting Fidelity;SHAP Contrary Fidelity;LIME Supporting Fidelity;LIME Contrary Fidelity
0;0;1.0;1.0;0.5;1.0;0.5;1.0;0.5;1.0;0.55;1.0;0.4;1.0;0.0
1;0;0.7692307692307693;1.0;1.0;1.0;1.0;1.0;0.6666666666666666;1.0;0.6666666666666667;1.0;0.2;0.6;0.4599999999999999
0;0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0;0.6;1.0;0.2846153846153846;1.0;0.2
0;0;1.0;1.0;0.5;1.0;0.5;1.0;1.0;1.0;0.8;1.0;0.4;1.0;0.2
0;0;0.7692307692307693;1.0;1.0;1.0;1.0;1.0;0.6666666666666666;1.0;0.4;1.0;0.4;1.0;0.6
0;0;1.0;1.0;0.5;1.0;0.5;1.0;0.5;1.0;0.7;1.0;0.3;1.0;0.2
0;0;1.0;1.0;0.5;1.0;0.5;1.0;1.0;1.0;0.8;1.0;0.5;1.0;0.6
0;0;1.0;1.0;0.5;1.0;0.5;1.0;0.5;1.0;0.75;1.0;0.3;1.0;0.0
0;0;1.0;1.0;0.6666666666666666;1.0;0.6666666666666667;1.0;0.6666666666666666;1.0;0.4666666666666666;1.0;0.1;1.0;0.0
0;0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0;0.5;1.0;0.5153846153846154;1.0;0.3
0;0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0;0.5;1.0;0.1615384615384615;1.0;0.3
0;0;1.0;1.0;0.6666666666666666;1.0;0.6666666666666667;1.0;0.6666666666666666;1.0;0.4999999999999999;1.0;0.2;1.0;0.0
1;0;1.0;1.0;0.6666666666666666;1.0;0.6666666666666667;1.0;0.6666666666666666;1.0;0.4;1.0;0.5;0.5;0.3142857142857143
0;0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.7;1.0;0.4692307692307692;1.0;0.2
0;0;1.0;1.0;0.6666666666666666;1.0;0.6666666666666667;1.0;0.6666666666666666;1.0;0.5666666666666667;1.0;0.3;1.0;0.2
0;0;1.0;1.0;0.5;1.0;0.5;1.0;0.5;1.0;0.7;1.0;0.4;0.6;0.1
0;0;1.0;1.0;0.6666666666666666;1.0;0.6666666666666667;1.0;0.6666666666666666;1.0;0.5666666666666667;1.0;0.1714285714285714;1.0;0.2857142857142857
0;0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0;0.5;1.0;0.5384615384615385;1.0;0.0
0;0;1.0;1.0;0.5;1.0;0.5;1.0;0.5;1.0;0.55;1.0;0.457142857142857;1.0;0.2857142857142857
0;0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0;0.6;1.0;0.4153846153846154;1.0;0.0
0;0;1.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0;0.65;1.0;0.4384615384615385;1.0;0.3
0;0;1.0;1.0;0.5;1.0;0.5;1.0;0.5;1.0;0.5;1.0;0.3428571428571428;0.6571428571428573;0.3285714285714285
0;0;1.0;1.0;0.5;1.0;0.5;1.0;1.0;1.0;0.9;1.0;0.1;1.0;0.0
1;0;1.0;1.0;0.6666666666666666;1.0;0.6666666666666667;1.0;0.6666666666666666;1.0;0.4;1.0;0.2;0.8;0.3857142857142857
0;0;0.7692307692307693;1.0;0.6666666666666666;1.0;0.6666666666666667;1.0;0.3333333333333333;1.0;0.33333333333333337;1.0;0.4399999999999999;0.7;0.4599999999999999
0;0;1.0;1.0;0.5;1.0;0.5;1.0;1.0;1.0;0.8;1.0;0.2285714285714285;1.0;0.2857142857142857
0;0;1.0;1.0;0.6666666666666666;1.0;0.6666666666666667;1.0;0.6666666666666666;1.0;0.5666666666666667;1.0;0.2;1.0;0.0
0;0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.6;1.0;0.1
1;0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.975;1.0;0.6923076923076923;1.0;0.3461538461538461
