CRIM;ZN;INDUS;CHAS;NOX;RM;AGE;DIS;RAD;TAX;PTRATIO;B;LSTAT
0.07886;80.0;4.95;0;0.411;7.148;27.7;5.1167;4;245;19.2;396.9;3.56
4.34879;0.0;18.1;0;0.58;6.167;84.0;3.0334;24;666;20.2;396.9;16.29
0.03537;34.0;6.09;0;0.433;6.59;40.4;5.4917;7;329;16.1;395.75;9.5
0.02187;60.0;2.93;0;0.401;6.8;9.9;6.2196;1;265;15.6;393.37;5.03
6.80117;0.0;18.1;0;0.713;6.081;84.4;2.7175;24;666;20.2;396.9;14.7
0.13058;0.0;10.01;0;0.547;5.872;73.1;2.4775;6;432;17.8;338.63;15.37
11.8123;0.0;18.1;0;0.718;6.824;76.5;1.794;24;666;20.2;48.45;22.74
6.39312;0.0;18.1;0;0.584;6.162;97.4;2.206;24;666;20.2;302.76;24.1
0.13262;0.0;8.56;0;0.52;5.851;96.7;2.1069;5;384;20.9;394.05;16.47
0.14932;25.0;5.13;0;0.453;5.741;66.2;7.2254;8;284;19.7;395.11;13.15
0.08826;0.0;10.81;0;0.413;6.417;6.6;5.2873;4;305;19.2;383.73;6.72
0.52693;0.0;6.2;0;0.504;8.725;83.0;2.8944;8;307;17.4;382.0;4.63
18.811;0.0;18.1;0;0.597;4.628;100.0;1.5539;24;666;20.2;28.79;34.37
0.44178;0.0;6.2;0;0.504;6.552;21.4;3.3751;8;307;17.4;380.34;3.76
0.0136;75.0;4.0;0;0.41;5.888;47.6;7.3197;3;469;21.1;396.9;14.8
0.12757;30.0;4.93;0;0.428;6.393;7.8;7.0355;6;300;16.6;374.71;5.19
24.8017;0.0;18.1;0;0.693;5.349;96.0;1.7028;24;666;20.2;396.9;19.77
0.09512;0.0;12.83;0;0.437;6.286;45.0;4.5026;5;398;18.7;383.23;8.94
0.03871;52.5;5.32;0;0.405;6.209;31.3;7.3172;6;293;16.6;396.9;7.14
0.34006;0.0;21.89;0;0.624;6.458;98.9;2.1185;4;437;21.2;395.04;12.6
0.02899;40.0;1.25;0;0.429;6.939;34.5;8.7921;1;335;19.7;389.85;5.89
0.22188;20.0;6.96;1;0.464;7.691;51.8;4.3665;3;223;18.6;390.77;6.58
88.9762;0.0;18.1;0;0.671;6.968;91.9;1.4165;24;666;20.2;396.9;17.21
7.99248;0.0;18.1;0;0.7;5.52;100.0;1.5331;24;666;20.2;396.9;24.56
0.04741;0.0;11.93;0;0.573;6.03;80.8;2.505;1;273;21.0;396.9;7.88
0.33045;0.0;6.2;0;0.507;6.086;61.5;3.6519;8;307;17.4;376.75;10.88
1.46336;0.0;19.58;0;0.605;7.489;90.8;1.9709;5;403;14.7;374.43;1.73
0.12269;0.0;6.91;0;0.448;6.069;40.0;5.7209;3;233;17.9;389.39;9.55
0.06047;0.0;2.46;0;0.488;6.153;68.8;3.2797;3;193;17.8;387.11;13.15
0.09849;0.0;25.65;0;0.581;5.879;95.8;2.0063;2;188;19.1;379.38;17.58
0.40771;0.0;6.2;1;0.507;6.164;91.3;3.048;8;307;17.4;395.24;21.46
